city,region,country,cont,"""placename""",city,lat-cit,long-cit,region,lat-reg,long-reg,country,lat-cou,lon-cou,continent,lat-con,long-con
,,,,Altniederländisch,-,,,-, , ,Niederlande,52.1326° N,5.2913° E,Europa *,"49°58'30.3""N","9°08'19.8""E"
,,,,"Böhmen, Böhmisch, Deutsch",-,,,Böhmen,50.0755° N,14.4378° E,Tschechien,50.0755° N,14.4378° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Böhmen, Böhmisch, Italienisch",-,,,Böhmen *,50.0755° N,14.4378° E,Tschechien *,50.0755° N,14.4378° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Caravaggio und caravaggeske Malerei,-,,,-, , ,Italien *,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Deutsch,-,,,-, , ,Deutschland,51.1657° N,10.4515° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Deutsch, Oberrheinisch",-,,,"Basel, Elsass (Grand Est), Baden-Württemberg, Rheinland-Pfalz, Hessen (oder Oberrhein?)","48°58'00.4""N","48°58'00.4""N",Deutschland + Frankreich + Schweiz,"48°58'00.4""N","48°58'00.4""N",Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Englisch,-,,,England,52.3555° N,1.1743° W,England,52.3555° N,1.1743° W,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Flämisch,-,,,Flandern,"51°02'58.8""N","4°09'32.3""E",Niederlande,52.1326° N,5.2913° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Französisch,-,,,-, , ,Frankreich,46.2276° N,2.2137° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Holländisch,-,,,Holland,"52°11'59.9""N","4°43'24.7""E",Niederlande,52.1326° N,5.2913° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Holländisch, Deutsch",-,,,Holland,"52°11'59.9""N","4°43'24.7""E",Niederlande + Deutschland,"8°55'06.4""E","8°55'06.4""E",Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Italienisch,-,,,-, , ,Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Bolognesisch",Bologna,"44°29'42.6""N","11°20'32.8""E",Emilia-Romagna,"44°29'42.6""N","11°20'32.8""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Emilianisch",-,,,Emilia-Romagna,"10°37'49.7""E","10°37'49.7""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Florentinisch",Florenz,"43°46'11.0""N","11°15'21.2""E",Toskana (Rep. Florenz?) *,"43°46'11.0""N","11°15'21.2""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Genuesisch",Genua,"44°24'35.8""N","8°56'16.7""E",Ligurien (Genuesische Rep.?),"44°24'35.8""N","8°56'16.7""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Lombardisch",-,,,Lombardei *,"45°27'51.4""N","9°11'21.4""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Mittelitalienisch",-,,,"Toskana, Umbrien, Marken, Latium *","42°43'07.0""N","12°06'42.9""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Neapolitanisch",Neapel,"40°51'09.0""N","14°16'10.1""E",Kampanien (Kgr. Neapel),"40°51'09.0""N","14°16'10.1""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Oberitalienisch",-,,,"Aostatal, Piemont, Lombardei, Ligurien, Friaul-Julisch Venetien, Venetien, Trentino-Südtirol, Emilia-Romagna","45°09'27.5""N","10°47'32.0""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Römisch",Rom,"41°54'09.7""N","12°29'46.5""E",Latium,"41°54'09.7""N","12°29'46.5""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Venezianisch",Venedig,"12°19'47.8""E","12°19'47.8""E",Venetien (Rep. Venedig),"12°19'47.8""E","12°19'47.8""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Italienisch, Veronesisch",Verona,"10°59'40.3""E","10°59'40.3""E",Venetien,"10°59'40.3""E","10°59'40.3""E",Italien,41.8719° N,12.5674° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Niederländisch,-,,,-, , ,Niederlande,52.1326° N,5.2913° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,"Niederländisch, Flämisch",-,,,Flandern,"50°50'48.0""N","4°21'09.4""E",Niederlande,52.1326° N,5.2913° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Niederländisch; Flämisch,-,,,Flandern,"50°50'48.0""N","4°21'09.4""E",Niederlande,52.1326° N,5.2913° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Niederländisch; Flämisch; Holländisch,-,,,Flandern & Niederland,"51°13'09.0""N","4°24'05.5""E",Niederlande,52.1326° N,5.2913° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Österreichisch,-,,,, , ,Österreich,47.5162° N,14.5501° E,Europa,"49°58'30.3""N","9°08'19.8""E"
,,,,Spanisch,-,,,-,,,Spanien,40.4637° N,3.7492° W,Europa,"49°58'30.3""N","9°08'19.8""E"